Virtual_Realm,Operator,DSC_Peer,Hostname,SCTP_IP,Pingable,WorkMode,Customer_Contact
epc.mnc092.mcc404.3gppnetwork.org,Bharti Airtel India,Airtel-MUM-RHSS01,rhlr1.epc.mnc092.mcc404.3gppnetwork.org,"223.224.117.21,223.224.117.29",YES,Spare/Cold Standby,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
epc1.mnc092.mcc404.3gppnetwork.org,Bharti Airtel India,Airtel-MUM-RHSS2,rhlr2.epc1.mnc092.mcc404.3gppnetwork.org,"223.224.117.54,223.224.117.62",YES,Spare/Cold Standby,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-mumai-dea-group,Bharti Airtel India,Airtel-MumbaiDEA01,ipx01.mum.epc.mnc092.mcc404.3gppnetwork.org,"223.224.196.2,223.224.196.34",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-Nagpur-MME1,mmec60.mmegi8004.mme.epc.mnc090.mcc404.3gppnetwork.org,"223.224.116.181,223.224.116.182",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-NOI-S57-SGSN-MME02,mmec216.mmegi32771.mme.epc.mnc010.mcc404.3gppnetwork.org,"223.224.166.251,223.224.166.252",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-ORISSA-MME,mmec13.mmegi32771.mme.epc.mnc053.mcc405.3gppnetwork.org,"223.224.124.66,223.224.124.74",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-Orissa-new-MME1,mmec120.mmegi40015.mme.epc.mnc053.mcc405.3gppnetwork.org,"223.224.115.221,223.224.115.222",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-Orissa-new-MME2,mmec128.mmegi40015.mme.epc.mnc053.mcc405.3gppnetwork.org,"223.224.115.204,223.224.115.205",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-PB-MME,mmec205.mmegi32769.mme.epc.mnc002.mcc404.3gppnetwork.org,"223.224.44.132,223.224.44.135",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
epc.mnc002.mcc404.3gppnetwork.org,Bharti Airtel India,Airtel-pbslf01-HSS,pbslf01.epc.mnc002.mcc404.3gppnetwork.org,"223.224.96.145,223.224.96.146",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
epc.mnc090.mcc404.3gppnetwork.org,Bharti Airtel India,Airtel-Pune-MME1,mmec58.mmegi8004.mme.epc.mnc090.mcc404.3gppnetwork.org,"223.224.116.177,223.224.116.178",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-Punjab-new-MME2,mmec216.mmegi32769.mme.epc.mnc002.mcc404.3gppnetwork.org,"223.224.96.197,223.224.96.198",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-RAJ-MME-4,mmec216.mmegi32810.mme.epc.mnc070.mcc404.3gppnetwork.org,"223.224.96.81,223.224.96.82",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-RAJ-MME1,mmec211.mmegi32810.mme.epc.mnc070.mcc404.3gppnetwork.org,"223.224.96.33,223.224.96.34",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-RAJ-MME2,mmec212.mmegi21811.mme.epc.mnc070.mcc404.3gppnetwork.org,"223.224.96.35,223.224.96.36",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-RAJ-MME3,mmec206.mmegi32810.mme.epc.mnc070.mcc404.3gppnetwork.org,"223.224.96.59,223.224.96.60",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-Rajasthan-new-MME,mmec192.mmegi32810.mme.epc.mnc070.mcc404.3gppnetwork.org,"223.224.166.244,223.224.96.72",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-ROB-SGSN6,mmec02.mmegi800d.epc.mnc051.mcc405.3gppnetwork.org,"223.224.124.162,223.224.124.170",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-chn-dra-group,Bharti Airtel India,Airtel-SAHDRA01,dra01.chn.epc.mnc040.mcc404.3gppnetwork.org,"223.224.118.84, 223.224.118.85",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-SML-MOH-SGSN-02,mmec104.mmegi32800.mme.epc.mnc003.mcc404.3gppnetwork.org,"223.224.96.202,223.224.96.203",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-south-hss-realm,Bharti Airtel India,Airtel-South-HSS1,hsskar101.epc.mnc049.mcc404.3gppnetwork.org,"223.224.118.188,223.224.118.189",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-South-HSS10,hsshyd204.epc.mnc049.mcc404.3gppnetwork.org,"223.224.144.215,223.224.144.216",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-South-HSS11,hssvij303.epc.mnc049.mcc404.3gppnetwork.org,"223.224.144.217,223.224.144.218",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-South-HSS12,hssvij304.epc.mnc049.mcc404.3gppnetwork.org,"223.224.144.219,223.224.144.220",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-south-hss-realm,Bharti Airtel India,Airtel-South-HSS2,hsskar102.epc.mnc049.mcc404.3gppnetwork.org,"223.224.118.190,223.224.118.191",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-south-hss-realm,Bharti Airtel India,Airtel-South-HSS4,hsshyd202.epc.mnc049.mcc404.3gppnetwork.org,"223.224.66.81,223.224.66.82",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-south-hss-realm,Bharti Airtel India,Airtel-South-HSS5,hssvij301.epc.mnc049.mcc404.3gppnetwork.org,"223.224.66.83,223.224.66.84",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-south-hss-realm,Bharti Airtel India,Airtel-South-HSS6,hssvij302.epc.mnc049.mcc404.3gppnetwork.org,"223.224.66.85,223.224.66.86",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-South-HSS7,hsskar103.epc.mnc049.mcc404.3gppnetwork.org,"223.224.144.146,223.224.144.147",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-South-HSS8,hsskar104.epc.mnc049.mcc404.3gppnetwork.org,"223.224.144.148,223.224.144.149",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-South-HSS9,hsshyd203.epc.mnc049.mcc404.3gppnetwork.org,"223.224.144.213,223.224.144.214",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-chn-dra-group,Bharti Airtel India,Airtel-SRHDRA01,dra02.chn.epc.mnc040.mcc404.3gppnetwork.org,"223.224.118.82, 223.224.118.83",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
